YEAR,DEM,REP
1960,51.3,48.7
1964,66.2,33.8
1968,48.1,44.2
1972,42.5,56.5
1976,51.7,48.3
1980,39.8,47.2
1984,49.7,50
1988,51.5,48.1
1992,55.1,33
1996,59.4,35.2
2000,62.5,33.5
2004,66,32.8
2008,71.6,27
2012,70.9,27.1
2016,74.7,19.4
2020,78.6,19
2024,74.5,21.7
