YEAR,DEM,REP
1960,46.7,53.3
1964,60.9,39.1
1968,33.1,47.1
1972,28.7,69.3
1976,44.1,55.9
1980,36.1,58.6
1984,32.8,66.7
1988,35.5,63.8
1992,35.7,47.6
1996,39.1,50.9
2000,38.4,58.9
2004,35.2,63.8
2008,42.6,55.5
2012,39.9,57.5
2016,32,62.1
2020,38.4,59.3
2024,37.2,60.1
