YEAR,DEM,REP
1960,43.4,56.6
1964,54.5,45.5
1968,31.1,53.8
1972,35.2,63.5
1976,49.2,50.8
1980,40.1,47
1984,41.7,57.8
1988,43.3,56.2
1992,44.9,38.7
1996,49.8,42.8
2000,51.9,44.2
2004,54,44.6
2008,60,38.1
2012,59.7,37.7
2016,63.3,29.3
2020,70.7,26.4
2024,68.4,27.1
