YEAR,DEM,REP
1960,58,42
1964,63.8,36.2
1968,40.3,41.2
1972,40.3,58.5
1976,58,42
1980,50.9,40.7
1984,58.6,41
1988,60,38.8
1992,65.7,24.5
1996,73.5,21.9
2000,79.5,18.4
2004,81.8,17.4
2008,88.9,10.4
2012,89.7,9.2
2016,88.1,8.4
2020,89.3,8.7
2024,85.9,11.1
