YEAR,DEM,REP
1960,45.9,54.1
1964,53.9,46.1
1968,29.2,47.2
1972,29.3,69.7
1976,47.2,52.8
1980,43.1,51.3
1984,33.5,66.3
1988,36.5,63.2
1992,37.9,44.8
1996,45.1,46.5
2000,45.5,51.4
2004,40.4,58.7
2008,46.4,52.2
2012,46.5,51.5
2016,42.4,52.2
2020,47.7,49.6
2024,45.9,51.3
