YEAR,DEM,REP
1960,49.6,50.4
1964,60.1,39.9
1968,36.9,49.7
1972,28.1,70.3
1976,45.3,54.7
1980,43.3,47.3
1984,38.1,61.3
1988,42.3,57
1992,44.4,39.2
1996,49.1,42.4
2000,52.8,43.7
2004,51.6,47
2008,56.2,41.7
2012,57.3,40.3
2016,55.9,38.3
2020,62.3,35.2
2024,60.5,36.2
