YEAR,DEM,REP
1960,42.5,57.5
1964,61.1,38.9
1968,31.6,51.9
1972,28.7,69.5
1976,44.8,55.2
1980,34.8,56.3
1984,31.1,68.7
1988,34.2,65.3
1992,33.8,48.4
1996,38.4,52.8
2000,39.1,57.7
2004,39.3,59.6
2008,48.6,49.6
2012,47.1,50.2
2016,45,47.4
2020,53.3,43.7
2024,52.8,44
